team,champion,runner_up,seasons_won,seasons_runnerup
Real Madrid,15,3,"1956, 1957, 1958, 1959, 1960, 1966, 1998, 2000, 2002, 2014, 2016, 2017, 2018, 2022, 2024","1962, 1964, 1981"
Milan,7,4,"1963, 1969, 1989, 1990, 1994, 2003, 2007","1958, 1993, 1995, 2005"
Bayern Munich,6,5,"1974, 1975, 1976, 2001, 2013, 2020","1982, 1987, 1999, 2010, 2012"
Liverpool,6,4,"1977, 1978, 1981, 1984, 2005, 2019","1985, 2007, 2018, 2022"
Barcelona,5,3,"1992, 2006, 2009, 2011, 2015","1961, 1986, 1994"
Ajax,4,2,"1971, 1972, 1973, 1995","1969, 1996"
Inter Milan,3,4,"1964, 1965, 2010","1967, 1972, 2023, 2025"
Manchester United,3,2,"1968, 1999, 2008","2009, 2011"
Juventus,2,7,"1985, 1996","1973, 1983, 1997, 1998, 2003, 2015, 2017"
Benfica,2,5,"1961, 1962","1963, 1965, 1968, 1988, 1990"
Chelsea,2,1,"2012, 2021",2008
Nottingham Forest,2,0,"1979, 1980",—
Porto,2,0,"1987, 2004",—
Borussia Dortmund,1,2,1997,"2013, 2024"
Celtic,1,1,1967,1970
Hamburger SV,1,1,1983,1980
Steaua București,1,1,1986,1989
Marseille,1,1,1993,1991
Manchester City,1,1,2023,2021
Paris Saint-Germain,1,1,2025,2020
Feyenoord,1,0,1970,—
Aston Villa,1,0,1982,—
PSV Eindhoven,1,0,1988,—
Red Star Belgrade,1,0,1991,—
Atlético Madrid,0,3,—,"1974, 2014, 2016"
Reims,0,2,—,"1956, 1959"
Valencia,0,2,—,"2000, 2001"
Fiorentina,0,1,—,1957
Eintracht Frankfurt,0,1,—,1960
Partizan,0,1,—,1966
Panathinaikos,0,1,—,1971
Leeds United,0,1,—,1975
Saint-Étienne,0,1,—,1976
Borussia Mönchengladbach,0,1,—,1977
Club Brugge,0,1,—,1978
Malmö FF,0,1,—,1979
Roma,0,1,—,1984
Sampdoria,0,1,—,1992
Bayer Leverkusen,0,1,—,2002
Monaco,0,1,—,2004
Arsenal,0,1,—,2006
Tottenham Hotspur,0,1,—,2019
