Age,Salary,Purchased
56,62476,0
46,307955,1
32,168280,0
25,676510,1
38,596468,1
56,699646,1
36,638144,1
40,855882,1
28,415568,1
28,187141,0
41,899320,1
53,635736,1
57,539685,1
41,960059,1
20,179031,0
39,919232,1
19,969021,1
41,120180,1
47,67234,0
55,565242,1
19,179352,0
38,80459,0
50,410995,1
29,196004,0
39,467152,1
42,942970,1
44,955443,1
59,726256,1
45,953774,1
33,60163,0
32,476853,1
20,52934,0
54,721255,1
24,426523,1
38,841530,1
26,455137,1
56,6486,0
35,140407,0
21,874332,1
42,651308,1
31,628083,1
26,221184,1
43,667490,1
19,350652,1
37,762315,1
45,643612,1
24,323710,1
25,198775,0
52,290336,1
31,788494,1
34,609364,1
53,90780,0
57,153617,1
21,546977,1
19,798606,1
23,351605,1
59,913606,1
21,890465,1
46,534636,1
35,942218,1
43,39102,0
51,75460,0
27,365778,1
53,90930,0
31,532089,1
48,628438,1
32,728627,1
25,180208,0
31,155697,0
40,214945,1
57,232915,1
38,728952,1
33,209124,0
35,438477,1
41,526830,1
43,284821,1
42,178804,0
58,706703,1
46,40081,0
32,719216,1
18,356249,1
42,220930,0
24,806497,1
26,518313,1
41,215532,0
18,613380,1
25,520332,1
41,317837,1
28,290106,1
34,29295,0
25,14807,0
52,436564,1
52,158504,0
50,239067,1
22,486008,1
59,976358,1
56,958766,1
58,693440,1
45,395540,1
24,878699,1
26,518923,1
25,167981,0
29,745699,1
51,20870,0
50,953082,1
40,204196,0
41,249683,0
54,235677,1
52,27790,0
57,644162,1
39,812721,1
44,449345,1
52,750074,1
18,488462,1
52,540773,1
54,831914,1
31,87188,0
20,530036,1
18,743129,1
22,665795,1
43,791141,1
31,649249,1
56,31355,0
44,712131,1
26,452015,1
32,407332,1
32,157542,0
43,174416,1
59,306062,1
30,839656,1
49,564586,1
56,502708,1
49,867651,1
21,62629,0
47,329184,1
54,493734,1
40,756195,1
56,291160,1
32,549248,1
46,821023,1
53,214920,1
30,890765,1
49,243804,1
24,377965,1
39,461857,1
45,823827,1
19,505492,1
59,654983,1
23,416916,1
45,822052,1
45,759574,1
37,129148,0
47,807991,1
28,487261,1
45,356540,1
42,193714,1
56,732899,1
50,284876,1
18,260747,1
44,616650,1
30,424570,1
58,276987,1
20,639353,1
56,859158,1
23,18640,0
25,53528,0
44,825845,1
26,260214,1
54,840070,1
50,971240,1
59,502108,1
41,635421,1
32,369501,1
49,725226,1
49,151159,0
41,173502,0
58,156576,1
29,925618,1
56,866291,1
19,887089,1
20,929479,1
54,12023,0
34,546735,1
19,389043,1
19,287103,1
45,67203,0
40,906588,1
54,161775,0
49,10337,0
50,571715,1
18,515723,1
36,324673,1
19,365167,1
43,347809,1
49,631075,1
23,688281,1
49,296451,1
21,421571,1
28,128016,0
34,792267,1
55,545447,1
41,498562,1
22,703965,1
51,384934,1
23,893048,1
39,956592,1
28,866184,1
33,318428,1
50,320187,1
26,691907,1
23,884439,1
33,83844,0
46,552820,1
20,166421,0
37,123402,0
53,119012,1
36,439661,1
43,399929,1
20,581466,1
36,574695,1
37,464556,1
49,576278,1
24,994176,1
58,130473,0
50,984049,1
57,479007,1
56,845573,1
35,418009,1
57,319714,1
18,227156,0
28,169964,0
45,526303,1
42,62813,0
40,28712,0
48,625785,1
47,926919,1
59,768214,1
52,113816,0
24,129778,1
33,587580,1
43,286977,1
19,136230,0
18,719040,1
29,807741,1
22,270114,1
54,335618,1
49,833972,1
26,152456,0
58,805449,1
52,863312,1
36,106570,0
33,271846,1
20,918888,1
37,1404,0
41,959447,1
50,704286,1
41,947693,1
28,275907,0
25,674744,1
53,716460,1
55,885574,1
57,666220,1
37,236365,0
52,343786,1
42,51612,0
52,811006,1
42,810956,1
46,201244,1
35,798348,1
35,5809,0
19,164273,0
52,709690,1
33,145528,0
58,507964,1
53,450613,1
50,908720,1
21,39765,0
50,953320,1
31,832538,1
38,317076,1
37,935604,1
25,844523,1
24,547237,1
20,202152,0
34,300888,1
50,701903,1
29,895751,1
39,93193,0
39,37187,0
47,506950,1
55,139311,0
55,911886,1
25,801921,1
44,509153,1
44,190089,1
51,587165,1
38,437341,1
47,313066,1
50,619362,1
45,688409,1
50,562419,1
22,961448,1
36,641053,1
21,861395,1
52,632172,1
34,126917,0
45,811717,1
47,300770,1
46,699168,1
23,482680,1
52,972375,1
58,282342,1
54,938262,1
41,540542,1
46,45238,0
48,2252,0
52,827196,1
50,865141,1
38,955945,1
49,486450,1
40,316826,1
50,322638,1
20,606605,1
35,328359,1
42,603875,1
59,7949,0
48,764185,1
20,318537,1
57,729913,1
41,663301,1
49,551222,1
39,941890,1
40,781722,1
19,456102,1
44,338889,1
59,477467,1
19,357600,1
43,316557,1
34,975304,1
57,884671,1
50,305462,1
26,251875,1
56,464389,1
46,71390,0
59,708689,1
43,254490,1
52,568376,1
42,248940,1
41,366340,1
30,434027,1
24,509041,1
